file,loc,language,change_count,churn_added,churn_deleted,churn_total,authors_count,author_concentration,last_modified_date,max_function_cc,avg_function_cc,max_function_loc,duplication_percent,code_health_score,hotspot_score,is_hotspot,coupling_degree,developer_congestion_flag,former_contributor_risk_flag
osafw-app/App_Code/controllers/AdminDemoDicts.cs,19,.cs,1,1,1,2,1,1.0,2025-12-10T11:47:30-06:00,1,1.0,12,21.05,8.5,0.0,False,0,False,False
osafw-app/App_Code/controllers/AdminDemos.cs,178,.cs,17,193,102,295,1,1.0,2025-12-15T17:20:37-06:00,11,3.67,42,23.03,7.44,0.6703,True,171,False,False
osafw-app/App_Code/controllers/AdminDemosDynamic.cs,19,.cs,5,20,20,40,1,1.0,2025-12-15T17:20:37-06:00,2,2.0,12,21.05,8.5,0.3602,False,0,False,False
osafw-app/App_Code/controllers/AdminDemosVue.cs,18,.cs,2,36,2,38,1,1.0,2025-12-10T11:47:30-06:00,2,2.0,11,22.22,8.5,0.217,False,0,False,False
osafw-app/App_Code/controllers/AdminDemosVueSimple.cs,23,.cs,3,39,5,44,1,1.0,2025-12-15T17:20:37-06:00,2,1.5,10,26.09,8.5,0.2947,False,0,False,False
osafw-app/App_Code/controllers/AdminLookups.cs,66,.cs,4,124,29,153,1,1.0,2025-12-15T18:06:37-06:00,6,3.5,54,36.36,8.0,0.3897,False,0,False,False
osafw-app/App_Code/controllers/AdminReports.cs,85,.cs,8,69,23,92,2,0.91,2025-12-15T17:20:37-06:00,6,2.6,32,37.65,8.48,0.5139,True,60,False,False
osafw-app/App_Code/controllers/AdminRoles.cs,47,.cs,2,17,19,36,1,1.0,2025-12-15T17:20:37-06:00,3,2.25,12,51.06,8.5,0.2488,False,0,False,False
osafw-app/App_Code/controllers/AdminSendEmail.cs,70,.cs,9,35,36,71,2,0.94,2025-12-15T17:20:37-06:00,3,1.6,26,34.29,8.49,0.5201,True,86,False,False
osafw-app/App_Code/controllers/AdminSettings.cs,63,.cs,7,18,19,37,1,1.0,2025-12-26T15:39:04-06:00,3,1.83,16,25.4,8.49,0.4768,True,96,False,False
osafw-app/App_Code/controllers/AdminSpages.cs,150,.cs,9,101,75,176,1,1.0,2025-12-15T17:20:37-06:00,8,6.2,38,32.0,7.96,0.5642,True,155,False,False
osafw-app/App_Code/controllers/AdminUsers.cs,201,.cs,12,159,37,196,1,1.0,2026-01-19T13:29:44-06:00,6,2.5,39,31.84,8.46,0.6259,True,92,False,False
osafw-app/App_Code/controllers/Assistant.cs,175,.cs,3,276,23,299,1,1.0,2025-12-15T17:20:37-06:00,13,3.14,82,32.0,7.0,0.3759,False,0,False,False
osafw-app/App_Code/controllers/Att.cs,55,.cs,5,23,27,50,2,0.96,2025-12-15T17:20:37-06:00,5,2.5,29,69.09,8.5,0.4176,False,0,False,False
osafw-app/App_Code/controllers/Contact.cs,58,.cs,5,15,16,31,1,1.0,2025-12-15T17:20:37-06:00,6,2.25,28,37.93,8.5,0.4203,False,0,False,False
osafw-app/App_Code/controllers/DevConfigure.cs,128,.cs,11,67,35,102,1,1.0,2025-12-15T17:20:37-06:00,12,3.8,58,41.41,6.98,0.5859,True,156,False,False
